[header]
width=30
height=30
tilewidth=32
tileheight=32
orientation=orthogonal
background_color=0,0,0,255

[tilesets]
tileset=../../../../Downloads/cavernous.png,32,32,0,0
tileset=../../../../Downloads/walls1.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
0,288,0,0,0,0,0,261,259,260,261,259,260,261,259,260,261,259,0,0,0,260,261,0,0,0,0,260,287,288,
0,302,0,0,0,0,0,275,273,274,275,273,274,275,273,274,275,273,0,0,0,274,275,0,0,0,0,274,301,302,
0,258,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,0,0,
0,272,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,0,0,
0,0,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,0,0,
0,0,305,305,263,305,263,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,0,0,
0,0,263,263,277,263,277,263,305,263,263,263,263,263,263,263,263,263,305,263,263,263,263,263,263,263,263,263,0,0,
0,0,277,263,291,277,291,277,263,277,277,277,277,277,277,277,277,277,263,277,277,277,277,277,277,277,277,277,0,0,
0,0,291,263,305,263,305,291,277,263,291,263,291,263,291,263,291,263,277,263,291,291,291,291,291,291,291,291,0,0,
0,0,305,277,277,277,277,263,291,277,305,277,305,277,305,277,305,277,291,277,305,263,305,305,305,305,305,305,0,0,
0,0,291,291,291,291,291,277,305,291,291,291,291,291,291,291,291,291,305,291,291,277,291,263,291,263,291,263,285,286,
0,0,305,305,305,305,305,291,305,305,305,305,305,305,305,305,305,305,305,305,305,291,305,277,305,277,305,277,0,0,
0,0,263,263,263,263,263,305,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,291,0,0,
0,0,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,305,0,0,
0,0,291,291,291,291,291,263,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,263,0,0,
0,0,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,277,0,0,
0,0,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,291,0,0,
0,0,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,305,0,0,
